object_name,shp_name,theme,dataset,type,layer_name,type,lds_Name,gpkg_file,kart_layer_name,geometry_type,has_z,feature_count,crs_code
Landcover,landfill_poly,Landuse,Land_Layers,landfill,Landuse,poly,50294-nz-landfill-polygons-topo-150k,50294-nz-landfill-polygons-topo-150k\nz_landfill_polygons_topo_150k.gpkg,nz_landfill_polygons_topo_150k,Polygon,FALSE,65,EPSG:2193
Landcover,mine_poly,Landuse,Land_Layers,mine,Landuse,poly,50301-nz-mine-polygons-topo-150k,50301-nz-mine-polygons-topo-150k\nz_mine_polygons_topo_150k.gpkg,nz_mine_polygons_topo_150k,Polygon,FALSE,201,EPSG:2193
Landcover,pumice_pit_poly,Landuse,Land_Layers,pumice_pit,Landuse,poly,50312-nz-pumice-pit-polygons-topo-150k,50312-nz-pumice-pit-polygons-topo-150k\nz_pumice_pit_polygons_topo_150k.gpkg,nz_pumice_pit_polygons_topo_150k,Polygon,FALSE,3,EPSG:2193
Landcover,quarry_poly,Landuse,Land_Layers,quarry,Landuse,poly,50314-nz-quarry-polygons-topo-150k,50314-nz-quarry-polygons-topo-150k\nz_quarry_polygons_topo_150k.gpkg,nz_quarry_polygons_topo_150k,Polygon,FALSE,1019,EPSG:2193
Landcover,racetrack_poly,Landuse,Land_Layers,racetrack,Landuse,poly,50316-nz-racetrack-polygons-topo-150k,50316-nz-racetrack-polygons-topo-150k\nz_racetrack_polygons_topo_150k.gpkg,nz_racetrack_polygons_topo_150k,Polygon,FALSE,99,EPSG:2193
Landcover,rifle_range_poly,Landuse,Land_Layers,rifle_range,Landuse,poly,50326-nz-rifle-range-polygons-topo-150k,50326-nz-rifle-range-polygons-topo-150k\nz_rifle_range_polygons_topo_150k.gpkg,nz_rifle_range_polygons_topo_150k,Polygon,FALSE,27,EPSG:2193
Landcover,showground_poly,Landuse,Land_Layers,showground,Landuse,poly,50344-nz-showground-polygons-topo-150k,50344-nz-showground-polygons-topo-150k\nz_showground_polygons_topo_150k.gpkg,nz_showground_polygons_topo_150k,Polygon,FALSE,15,EPSG:2193
Landcover,sportsfield_poly,Landuse,Land_Layers,sportsfield,Landuse,poly,50355-nz-sportsfield-polygons-topo-150k,50355-nz-sportsfield-polygons-topo-150k\nz_sportsfield_polygons_topo_150k.gpkg,nz_sportsfield_polygons_topo_150k,Polygon,FALSE,30,EPSG:2193
Landcover,racetrack_cl,Landuse,Land_Layers,racetrack,Landuse_line,line,50315-nz-racetrack-centrelines-topo-150k,50315-nz-racetrack-centrelines-topo-150k\nz_racetrack_centrelines_topo_150k.gpkg,nz_racetrack_centrelines_topo_150k,LineString,FALSE,999,EPSG:2193
Hydrography,mangrove_poly,Landcover,Water_Layers,mangrove,Marine,poly,50296-nz-mangrove-polygons-topo-150k,50296-nz-mangrove-polygons-topo-150k\nz_mangrove_polygons_topo_150k.gpkg,nz_mangrove_polygons_topo_150k,Polygon,FALSE,1725,EPSG:2193
Landcover,reef_poly,Landcover,Water_Layers,reef,Marine,poly,50323-nz-reef-polygons-topo-150k,50323-nz-reef-polygons-topo-150k\nz_reef_polygons_topo_150k.gpkg,nz_reef_polygons_topo_150k,Polygon,FALSE,16,EPSG:2193
Landcover,rock_poly,Landcover,Land_Layers,rock,Marine,poly,50332-nz-rock-polygons-topo-150k,50332-nz-rock-polygons-topo-150k\nz_rock_polygons_topo_150k.gpkg,nz_rock_polygons_topo_150k,Polygon,FALSE,6026,EPSG:2193
Hydrography,shoal_poly,Landcover,Water_Layers,shoal,Marine,poly,50343-nz-shoal-polygons-topo-150k,50343-nz-shoal-polygons-topo-150k\nz_shoal_polygons_topo_150k.gpkg,nz_shoal_polygons_topo_150k,Polygon,FALSE,9,EPSG:2193
NZ-Topo-Map-Sheet,linz_map_sheet,MapSheets,MapSheets_Layers,nztopo50_map_sheet,NZTopo50_Map_Sheet,poly,linz_map_sheet,50295-nz-linz-map-sheets-topo-150k\nz_topo_50_map_sheets.gpkg,nz_topo_50_map_sheets,Polygon,FALSE,445,EPSG:2193
Utility,pipeline_cl,Utility,Land_Layers,pipeline,Utility_line,line,50309-nz-pipeline-centrelines-topo-150k,50309-nz-pipeline-centrelines-topo-150k\nz_pipeline_centrelines_topo_150k.gpkg,nz_pipeline_centrelines_topo_150k,LineString,FALSE,385,EPSG:2193
Utility,powerline_cl,Utility,Land_Layers,powerline,Utility_line,line,50311-nz-powerline-centrelines-topo-150k,50311-nz-powerline-centrelines-topo-150k\nz_powerline_centrelines_topo_150k.gpkg,nz_powerline_centrelines_topo_150k,LineString,FALSE,7223,EPSG:2193
Utility,telephone_cl,Utility,Land_Layers,telephone,Utility_line,line,50362-nz-telephone-centrelines-topo-150k,50362-nz-telephone-centrelines-topo-150k\nz_telephone_centrelines_topo_150k.gpkg,nz_telephone_centrelines_topo_150k,LineString,FALSE,276,EPSG:2193
Structure,walkwire_cl,Structures,Transport_Layers,walkwire,Structure_line,line,50368-nz-walkwire-centrelines-topo-150k,50368-nz-walkwire-centrelines-topo-150k\nz_walkwire_centrelines_topo_150k.gpkg,nz_walkwire_centrelines_topo_150k,LineString,FALSE,55,EPSG:2193
Hydrography,water_race_cl,Structures,Land_Layers,water_race,Structure_line,line,50369-nz-water-race-centrelines-topo-150k,50369-nz-water-race-centrelines-topo-150k\nz_water_race_centrelines_topo_150k.gpkg,nz_water_race_centrelines_topo_150k,LineString,FALSE,1621,EPSG:2193
Utility,gas_valve_pnt,Utility,Land_Layers,gas_valve,Utility_point,point,50277-nz-gas-valve-points-topo-150k,50277-nz-gas-valve-points-topo-150k\nz_gas_valve_points_topo_150k.gpkg,nz_gas_valve_points_topo_150k,Point,FALSE,73,EPSG:2193
Landcover,geo_bore_pnt,Utility,Land_Layers,geo_bore,Utility_point,point,50279-nz-geo-bore-points-topo-150k,50279-nz-geo-bore-points-topo-150k\nz_geo_bore_points_topo_150k.gpkg,nz_geo_bore_points_topo_150k,Point,FALSE,49,EPSG:2193
Utility,pylon_pnt,Utility,Land_Layers,pylon,Utility_point,point,50313-nz-pylon-points-topo-150k,50313-nz-pylon-points-topo-150k\nz_pylon_points_topo_150k.gpkg,nz_pylon_points_topo_150k,Point,FALSE,25179,EPSG:2193
Relief,cave_pnt,LandCover,Land_Layers,cave,Place_point,point,50253-nz-cave-points-topo-150k,50253-nz-cave-points-topo-150k\nz_cave_points_topo_150k.gpkg,nz_cave_points_topo_150k,Point,FALSE,142,EPSG:2193
Landcover,cemetery_pnt,Landcover,Land_Layers,cemetery,landcover_point,point,50254-nz-cemetery-points-topo-150k,50254-nz-cemetery-points-topo-150k\nz_cemetery_points_topo_150k.gpkg,nz_cemetery_points_topo_150k,Point,FALSE,1097,EPSG:2193
Landcover,grave_pnt,Landuse,Land_Layers,grave,Place_point,point,50282-nz-grave-points-topo-150k,50282-nz-grave-points-topo-150k\nz_grave_points_topo_150k.gpkg,nz_grave_points_topo_150k,Point,FALSE,29,EPSG:2193
Landcover,historic_site_pnt,Landuse,Land_Layers,historic_site,Place_point,point,50286-nz-historic-site-points-topo-150k,50286-nz-historic-site-points-topo-150k\nz_historic_site_points_topo_150k.gpkg,nz_historic_site_points_topo_150k,Point,FALSE,229,EPSG:2193
Landcover,mine_pnt,Landuse,Land_Layers,mine,landuse_point,point,50300-nz-mine-points-topo-150k,50300-nz-mine-points-topo-150k\nz_mine_points_topo_150k.gpkg,nz_mine_points_topo_150k,Point,FALSE,335,EPSG:2193
Structure,monument_pnt,Landuse,Land_Layers,monument,Place_point,point,50302-nz-monument-points-topo-150k,50302-nz-monument-points-topo-150k\nz_monument_points_topo_150k.gpkg,nz_monument_points_topo_150k,Point,FALSE,292,EPSG:2193
Structure,pa_pnt,Landuse,Land_Layers,pa,Place_point,point,50308-nz-pa-points-topo-150k,50308-nz-pa-points-topo-150k\nz_pa_points_topo_150k.gpkg,nz_pa_points_topo_150k,Point,FALSE,2144,EPSG:2193
Structure,radar_dome_pnt,Structures,Land_Layers,radar_dome,structure_point,point,50317-nz-radar-dome-points-topo-150k,50317-nz-radar-dome-points-topo-150k\nz_radar_dome_points_topo_150k.gpkg,nz_radar_dome_points_topo_150k,Point,FALSE,9,EPSG:2193
Relief,saddle_pnt,Relief,Relief_Layers,saddle,relief_point,point,50334-nz-saddle-points-topo-150k,50334-nz-saddle-points-topo-150k\nz_saddle_points_topo_150k.gpkg,nz_saddle_points_topo_150k,Point,FALSE,700,EPSG:2193
Structure,satellite_station_pnt,Structures,Land_Layers,satellite_station,structure_point,point,50336-nz-satellite-station-points-topo-150k,50336-nz-satellite-station-points-topo-150k\nz_satellite_station_points_topo_150k.gpkg,nz_satellite_station_points_topo_150k,Point,FALSE,7,EPSG:2193
Transport,railway_cl,Transport,Transport_Layers,railway,Railway_line,line,50319-nz-railway-centrelines-topo-150k,50319-nz-railway-centrelines-topo-150k\nz_railway_centrelines_topo_150k.gpkg,nz_railway_centrelines_topo_150k,LineString,FALSE,567,EPSG:2193
Transport,rail_station_pnt,Transport,Transport_Layers,rail_station,Railway_point,point,50318-nz-rail-station-points-topo-150k,50318-nz-rail-station-points-topo-150k\nz_rail_station_points_topo_150k.gpkg,nz_rail_station_points_topo_150k,Point,FALSE,174,EPSG:2193
Relief,cliff_edge,Relief,Relief_Layers,cliff_edge,Relief_line,line,50257-nz-cliff-edges-topo-150k,50257-nz-cliff-edges-topo-150k\nz_cliff_edges_topo_150k.gpkg,nz_cliff_edges_topo_150k,LineString,FALSE,51369,EPSG:2193
Relief,cutting_edge,Relief,Relief_Layers,cutting_edge,Relief_line,line,50259-nz-cutting-edges-topo-150k,50259-nz-cutting-edges-topo-150k\nz_cutting_edges_topo_150k.gpkg,nz_cutting_edges_topo_150k,LineString,FALSE,610,EPSG:2193
Relief,embankment_cl,Relief,Relief_Layers,embankment,Relief_line,line,50266-nz-embankment-centrelines-topo-150k,50266-nz-embankment-centrelines-topo-150k\nz_embankment_centrelines_topo_150k.gpkg,nz_embankment_centrelines_topo_150k,LineString,FALSE,2953,EPSG:2193
Relief,slip_edge,Relief,Relief_Layers,slip_edge,Relief_line,line,50350-nz-slip-edges-topo-150k,50350-nz-slip-edges-topo-150k\nz_slip_edges_topo_150k.gpkg,nz_slip_edges_topo_150k,LineString,FALSE,5839,EPSG:2193
Relief,blowhole_pnt,Relief,Relief_Layers,blowhole,Relief_point,point,blowhole_pnt,,,,,,
Relief,height_pnt,Relief,Relief_Layers,height,Relief_point,point,50284-nz-height-points-topo-150k,50284-nz-height-points-topo-150k\nz_height_points_topo_150k.gpkg,nz_height_points_topo_150k,Point,FALSE,85712,EPSG:2193
Relief,sinkhole_pnt,Relief,Relief_Layers,sinkhole,Relief_point,point,50345-nz-sinkhole-points-topo-150k,50345-nz-sinkhole-points-topo-150k-2\nz_sinkhole_points_topo_150k.gpkg,nz_sinkhole_points_topo_150k,Point,FALSE,674,EPSG:2193
Landcover,residential_area_poly,Landuse,Buildings_Layers,residential_area,Residential_area,poly,50325-nz-residential-area-polygons-topo-150k,50325-nz-residential-area-polygons-topo-150k\nz_residential_area_polygons_topo_150k.gpkg,nz_residential_area_polygons_topo_150k,Polygon,FALSE,2924,EPSG:2193
Transport,road_cl,Transport,Transport_Layers,road,Road_line,line,50329-nz-road-centrelines-topo-150k,50329-nz-road-centrelines-topo-150k\nz_road_centrelines_topo_150k.gpkg,nz_road_centrelines_topo_150k,LineString,FALSE,153518,EPSG:2193
Transport,runway_poly,Transport,Transport_Layers,runway,Runway,poly,50333-nz-runway-polygons-topo-150k,50333-nz-runway-polygons-topo-150k\nz_runway_polygons_topo_150k.gpkg,nz_runway_polygons_topo_150k,Polygon,FALSE,3042,EPSG:2193
Structure,dry_dock_poly,Structures,Land_Layers,dry_dock,Structure,poly,50265-nz-dry-dock-polygons-topo-150k,50265-nz-dry-dock-polygons-topo-150k\nz_dry_dock_polygons_topo_150k.gpkg,nz_dry_dock_polygons_topo_150k,Polygon,FALSE,1,EPSG:2193
Structure,fish_farm_poly,Structures,Land_Layers,fish_farm,Structure,poly,50270-nz-fish-farm-polygons-topo-150k,50270-nz-fish-farm-polygons-topo-150k\nz_fish_farm_polygons_topo_150k.gpkg,nz_fish_farm_polygons_topo_150k,Polygon,FALSE,23,EPSG:2193
Structure,marine_farm_poly,Structures,Land_Layers,marine_farm,Structure,poly,50298-nz-marine-farm-polygons-topo-150k,50298-nz-marine-farm-polygons-topo-150k\nz_marine_farm_polygons_topo_150k.gpkg,nz_marine_farm_polygons_topo_150k,Polygon,FALSE,858,EPSG:2193
Hydrography,reservoir_poly,Landuse,Water_Layers,reservoir,Structure,poly,50324-nz-reservoir-polygons-topo-150k,50324-nz-reservoir-polygons-topo-150k\nz_reservoir_polygons_topo_150k.gpkg,nz_reservoir_polygons_topo_150k,Polygon,FALSE,445,EPSG:2193
Structure,siphon_poly,Structures,Land_Layers,siphon,Structure,poly,50347-nz-siphon-polygons-topo-150k,50347-nz-siphon-polygons-topo-150k\nz_siphon_polygons_topo_150k.gpkg,nz_siphon_polygons_topo_150k,Polygon,FALSE,8,EPSG:2193
Structure,tank_poly,Structures,Land_Layers,tank,Structure,poly,50361-nz-tank-polygons-topo-150k,50361-nz-tank-polygons-topo-150k\nz_tank_polygons_topo_150k.gpkg,nz_tank_polygons_topo_150k,Polygon,FALSE,637,EPSG:2193
Structure,boatramp_cl,Structures,Land_Layers,boatramp,Structure_line,line,50241-nz-boatramp-centrelines-topo-150k,50241-nz-boatramp-centrelines-topo-150k\nz_boatramp_centrelines_topo_150k.gpkg,nz_boatramp_centrelines_topo_150k,LineString,FALSE,460,EPSG:2193
Structure,boom_cl,Structures,Land_Layers,boom,Structure_line,line,50242-nz-boom-centrelines-topo-150k,50242-nz-boom-centrelines-topo-150k\nz_boom_centrelines_topo_150k.gpkg,nz_boom_centrelines_topo_150k,LineString,FALSE,12,EPSG:2193
Structure,breakwater_cl,Structures,Land_Layers,breakwater,Structure_line,line,50243-nz-breakwater-centrelines-topo-150k,50243-nz-breakwater-centrelines-topo-150k\nz_breakwater_centrelines_topo_150k.gpkg,nz_breakwater_centrelines_topo_150k,LineString,FALSE,78,EPSG:2193
Structure,cableway_industrial_cl,Structures,Land_Layers,cableway_industrial,Structure_line,line,50248-nz-cableway-industrial-centrelines-topo-150k,50248-nz-cableway-industrial-centrelines-topo-150k\nz_cableway_industrial_centrelines_topo_150k.gpkg,nz_cableway_industrial_centrelines_topo_150k,LineString,FALSE,26,EPSG:2193
Structure,cableway_people_cl,Structures,Land_Layers,cableway_people,Structure_line,line,50249-nz-cableway-people-centrelines-topo-150k,50249-nz-cableway-people-centrelines-topo-150k\nz_cableway_people_centrelines_topo_150k.gpkg,nz_cableway_people_centrelines_topo_150k,LineString,FALSE,83,EPSG:2193
Structure,dam_cl,Structures,Land_Layers,dam,Structure_line,line,50260-nz-dam-centrelines-topo-150k,50260-nz-dam-centrelines-topo-150k\nz_dam_centrelines_topo_150k.gpkg,nz_dam_centrelines_topo_150k,LineString,FALSE,310,EPSG:2193
Hydrography,flume_cl,Landuse,Water_Layers,flume,Structure_line,line,50273-nz-flume-centrelines-topo-150k,50273-nz-flume-centrelines-topo-150k\nz_flume_centrelines_topo_150k.gpkg,nz_flume_centrelines_topo_150k,LineString,FALSE,6,EPSG:2193
Structure,fume_cl,Structures,Land_Layers,fume,Structure_line,line,unknown,,,,,,
Structure,ladder_cl,Structures,Land_Layers,ladder,Structure_line,line,50290-nz-ladder-centrelines-topo-150k,50290-nz-ladder-centrelines-topo-150k\nz_ladder_centrelines_topo_150k.gpkg,nz_ladder_centrelines_topo_150k,LineString,FALSE,2,EPSG:2193
Structure,marine_farm_cl,Structures,Land_Layers,marine_farm,Structure_line,line,50297-nz-marine-farm-centrelines-topo-150k,50297-nz-marine-farm-centrelines-topo-150k\nz_marine_farm_centrelines_topo_150k.gpkg,nz_marine_farm_centrelines_topo_150k,LineString,FALSE,27,EPSG:2193
Structure,ski_lift_cl,Structures,Land_Layers,ski_lift,Structure_line,line,50348-nz-ski-lift-centrelines-topo-150k,50348-nz-ski-lift-centrelines-topo-150k\nz_ski_lift_centrelines_topo_150k.gpkg,nz_ski_lift_centrelines_topo_150k,LineString,FALSE,30,EPSG:2193
Structure,ski_tow_cl,Structures,Land_Layers,ski_tow,Structure_line,line,50349-nz-ski-tow-centrelines-topo-150k,50349-nz-ski-tow-centrelines-topo-150k\nz_ski_tow_centrelines_topo_150k.gpkg,nz_ski_tow_centrelines_topo_150k,LineString,FALSE,52,EPSG:2193
Structure,slipway_cl,Structures,Land_Layers,slipway,Structure_line,line,50351-nz-slipway-centrelines-topo-150k,50351-nz-slipway-centrelines-topo-150k\nz_slipway_centrelines_topo_150k.gpkg,nz_slipway_centrelines_topo_150k,LineString,FALSE,28,EPSG:2193
Structure,spillway_edge,Structures,Land_Layers,spillway_edge,Structure_line,line,50354-nz-spillway-edges-topo-150k,50354-nz-spillway-edges-topo-150k\nz_spillway_edges_topo_150k.gpkg,nz_spillway_edges_topo_150k,LineString,FALSE,38,EPSG:2193
Structure,weir_cl,Structures,Land_Layers,weir,Structure_line,line,50374-nz-weir-centrelines-topo-150k,50374-nz-weir-centrelines-topo-150k\nz_weir_centrelines_topo_150k.gpkg,nz_weir_centrelines_topo_150k,LineString,FALSE,53,EPSG:2193
Structure,wharf_cl,Structures,Land_Layers,wharf,Structure_line,line,50376-nz-wharf-centrelines-topo-150k,50376-nz-wharf-centrelines-topo-150k\nz_wharf_centrelines_topo_150k.gpkg,nz_wharf_centrelines_topo_150k,LineString,FALSE,1851,EPSG:2193
Structure,wharf_edge,Structures,Land_Layers,wharf_edge,Structure_line,line,50377-nz-wharf-edges-topo-150k,50377-nz-wharf-edges-topo-150k\nz_wharf_edges_topo_150k.gpkg,nz_wharf_edges_topo_150k,LineString,FALSE,124,EPSG:2193
Structure,beacon_pnt,Structures,Land_Layers,beacon,Structure_point,point,50238-nz-beacon-points-topo-150k,50238-nz-beacon-points-topo-150k\nz_beacon_points_topo_150k.gpkg,nz_beacon_points_topo_150k,Point,FALSE,349,EPSG:2193
Structure,bivouac_pnt,Structures,Land_Layers,bivouac,Structure_point,point,50239-nz-bivouac-points-topo-150k,50239-nz-bivouac-points-topo-150k\nz_bivouac_points_topo_150k.gpkg,nz_bivouac_points_topo_150k,Point,FALSE,133,EPSG:2193
Structure,buoy_pnt,Structures,Land_Layers,buoy,Structure_point,point,50247-nz-buoy-points-topo-150k,50247-nz-buoy-points-topo-150k\nz_buoy_points_topo_150k.gpkg,nz_buoy_points_topo_150k,Point,FALSE,8,EPSG:2193
Structure,cattlestop_pnt,Structures,Land_Layers,cattlestop,Structure_point,point,unknown,,,,,,
Structure,chimney_pnt,Structures,Land_Layers,chimney,Structure_point,point,50256-nz-chimney-points-topo-150k,50256-nz-chimney-points-topo-150k\nz_chimney_points_topo_150k.gpkg,nz_chimney_points_topo_150k,Point,FALSE,9,EPSG:2193
Structure,dredge_pnt,Structures,Land_Layers,dredge,Structure_point,point,50263-nz-dredge-points-topo-150k,50263-nz-dredge-points-topo-150k\nz_dredge_points_topo_150k.gpkg,nz_dredge_points_topo_150k,Point,FALSE,8,EPSG:2193
Structure,flare_pnt,Structures,Land_Layers,flare,Structure_point,point,50271-nz-flare-points-topo-150k,50271-nz-flare-points-topo-150k\nz_flare_points_topo_150k.gpkg,nz_flare_points_topo_150k,Point,FALSE,5,EPSG:2193
Structure,floodgate_pnt,Structures,Land_Layers,floodgate,Structure_point,point,50272-nz-floodgate-points-topo-150k,50272-nz-floodgate-points-topo-150k\nz_floodgate_points_topo_150k.gpkg,nz_floodgate_points_topo_150k,Point,FALSE,83,EPSG:2193
Structure,flume_pnt,Structures,Land_Layers,flume,Structure_point,point,50274-nz-flume-points-topo-150k,,,,,,
Structure,gate_pnt,Structures,Land_Layers,gate,Structure_point,point,50278-nz-gate-points-topo-150k,50278-nz-gate-points-topo-150k\nz_gate_points_topo_150k.gpkg,nz_gate_points_topo_150k,Point,FALSE,2210,EPSG:2193
Structure,kiln_pnt,Structures,Land_Layers,kiln,Structure_point,point,unknown,,,,,,
Structure,ladder_pnt,Structures,Land_Layers,ladder,Structure_point,point,50291-nz-ladder-points-topo-150k,50291-nz-ladder-points-topo-150k\nz_ladder_points_topo_150k.gpkg,nz_ladder_points_topo_150k,Point,FALSE,3,EPSG:2193
Structure,mast_pnt,Structures,Land_Layers,mast,Structure_point,point,50299-nz-mast-points-topo-150k,50299-nz-mast-points-topo-150k\nz_mast_points_topo_150k.gpkg,nz_mast_points_topo_150k,Point,FALSE,1189,EPSG:2193
Structure,redoubt_pnt,Structures,Land_Layers,redoubt,Structure_point,point,50322-nz-redoubt-points-topo-150k,50322-nz-redoubt-points-topo-150k\nz_redoubt_points_topo_150k.gpkg,nz_redoubt_points_topo_150k,Point,FALSE,33,EPSG:2193
Structure,shaft_pnt,Structures,Land_Layers,shaft,Structure_point,point,50340-nz-shaft-points-topo-150k,50340-nz-shaft-points-topo-150k\nz_shaft_points_topo_150k.gpkg,nz_shaft_points_topo_150k,Point,FALSE,5,EPSG:2193
Structure,siphon_pnt,Structures,Land_Layers,siphon,Structure_point,point,50346-nz-siphon-points-topo-150k,50346-nz-siphon-points-topo-150k\nz_siphon_points_topo_150k.gpkg,nz_siphon_points_topo_150k,Point,FALSE,12,EPSG:2193
