text_bend,text_height,text_placement,style,colour,size,offset,placement,textanchor,labelanchor,charplace,chardistance
0,0.0017,32,Italic,process_blue,7.0,,OL,,,StretchWordSpacingToFit,
0,0.0017,32,Narrow Italic,black,7.0,,OL,,,StretchWordSpacingToFit,
0,0.0017,32,Regular,black,5.0,,OL,,,StretchWordSpacingToFit,
0,0.0019,1,Italic,black,7.5,-2.3,AL,,,StretchWordSpacingToFit,
0,0.0019,1,Italic,process_blue,7.5,-2.3,AL,,,StretchWordSpacingToFit,
0,0.0019,1,Narrow,black,8.0,-2.7,AL,,,StretchCharacterSpacingToFit,
0,0.0019,1,Narrow Bold,black,8.0,-2.7,AL,,,StretchWordSpacingToFit,
0,0.0019,1,Narrow Italic,black,8.0,-2.7,AL,,,StretchCharacterSpacingToFit,
0,0.0019,1,Regular,black,5.5,-2.0,AL,,,StretchWordSpacingToFit,
0,0.0019,2,Italic,black,7.5,,OL,,,StretchWordSpacingToFit,
0,0.0019,2,Italic,process_blue,7.5,,OL,,,StretchWordSpacingToFit,
0,0.0019,2,Narrow,black,8.0,,OL,,,StretchCharacterSpacingToFit,
0,0.0019,2,Regular,black,5.5,,OL,,,StretchWordSpacingToFit,
0,0.0019,3,Narrow,black,8.0,-2.0,BL,,,StretchCharacterSpacingToFit,
0,0.0019,3,Regular,black,5.5,-1.5,BL,,,StretchWordSpacingToFit,
0,0.0019,31,Italic,black,7.5,-2.1,AL,,,StretchWordSpacingToFit,
0,0.0019,31,Italic,process_blue,7.5,-2.3,AL,,,StretchWordSpacingToFit,
0,0.0019,31,Narrow,black,8.0,-2.7,AL,,,StretchCharacterSpacingToFit,
0,0.0019,31,Narrow Italic,black,8.0,-2.7,AL,,,StretchCharacterSpacingToFit,
0,0.0019,31,Regular,black,5.5,-2.0,AL,,,StretchWordSpacingToFit,
0,0.0019,32,Italic,process_blue,7.5,-2.0,BL,,,StretchWordSpacingToFit,
0,0.0019,32,Narrow,black,8.0,,OL,,,,
0,0.0019,32,Regular,black,5.5,,OL,,,StretchWordSpacingToFit,
0,0.0019,33,Narrow,black,8.0,-2.0,BL,right,0.5,,
0,0.0022,1,Italic,black,8.5,-2.4,AL,,,StretchWordSpacingToFit,
0,0.0022,1,Narrow,black,8.5,-3.0,AL,,,StretchWordSpacingToFit,
0,0.0022,1,Narrow Bold,black,8.5,-2.7,AL,,,StretchWordSpacingToFit,
0,0.0022,2,Italic,black,8.5,,OL,,,StretchWordSpacingToFit,
0,0.0022,2,Italic,process_blue,8.5,,OL,,,StretchWordSpacingToFit,
0,0.0022,31,Narrow,black,8.5,-3.0,AL,,,StretchWordSpacingToFit,
0,0.0022,31,Narrow Bold,black,8.5,-3.0,AL,,,StretchWordSpacingToFit,
0,0.0024,1,Italic,black,9.5,-2.7,AL,,,StretchCharacterSpacingToFit,
0,0.0024,1,Italic,process_blue,9.5,-3.0,AL,,,StretchWordSpacingToFit,
0,0.0024,1,Narrow,black,9.5,-3.0,AL,,,StretchWordSpacingToFit,
0,0.0024,1,Narrow Bold,black,9.5,-3.0,AL,,,StretchWordSpacingToFit,
0,0.0024,1,Narrow Italic,black,9.5,-3.2,AL,,,StretchCharacterSpacingToFit,
0,0.0024,2,Italic,process_blue,9.5,,OL,,,CharactersAtVertices,
0,0.0024,31,Italic,black,9.5,-2.7,AL,,,StretchWordSpacingToFit,
0,0.0024,31,Italic,process_blue,9.5,-3.0,AL,,,StretchWordSpacingToFit,
0,0.0026,1,Narrow Bold,black,10.5,-3.0,AL,,,StretchWordSpacingToFit,
0,0.0029,1,Italic,black,12.0,-4.0,AL,,,StretchCharacterSpacingToFit,
0,0.0029,1,Italic,process_blue,12.0,-4.0,AL,,,StretchCharacterSpacingToFit,
0,0.0029,1,Narrow Bold,black,12.0,-4.0,AL,,,StretchCharacterSpacingToFit,
0,0.0029,31,Narrow Bold,black,12.0,-4.0,AL,,,StretchCharacterSpacingToFit,
0,0.0031,1,Narrow Italic,black,12.5,-3.9,AL,,,StretchWordSpacingToFit,
0,0.0034,1,Narrow Bold,black,13.0,-4.0,AL,,,StretchCharacterSpacingToFit,
0,0.0043,1,Narrow Bold,black,17.0,-5.0,AL,,,StretchCharacterSpacingToFit,
0,4.1,1,Narrow,black,6.0,-2.0,AL,,,StretchCharacterSpacingToFit,
0,4.1,1,Narrow Italic,black,6.0,-2.0,AL,,,StretchCharacterSpacingToFit,
0,4.1,5,Narrow,black,6.0,,OL,,,StretchCharacterSpacingToFit,
0,4.1,51,Narrow,black,6.0,-2.0,AL,,,,
0,4.2,1,Narrow Italic,black,6.0,-2.0,AL,,,,
0,4.8,1,Regular,black,5.0,-1.6,AL,,,StretchWordSpacingToFit,
0,4.8,2,Regular,black,5.0,,OL,,,StretchWordSpacingToFit,
0,4.8,32,Regular,black,5.0,,OL,left,0.45,StretchWordSpacingToFit,
0,5.0,2,Regular,black,5.5,,OL,,,StretchWordSpacingToFit,
0,5.0,32,Regular,black,5.5,,OL,,,StretchWordSpacingToFit,
0,5.5,1,Regular,black,5.5,-1.8,AL,,,StretchWordSpacingToFit,
0,5.5,2,Regular,black,5.5,,OL,,,StretchWordSpacingToFit,
0,5.5,3,Regular,black,5.5,-1.4,BL,,,StretchWordSpacingToFit,
0,5.5,32,Regular,black,5.5,,OL,,,StretchWordSpacingToFit,
0,67.0,1,Narrow,black,5.5,-2.0,AL,,,,
0,67.0,31,Narrow,black,5.5,-2.0,AL,left,0.8,,
0,68.5,1,Italic,process_blue,6.0,-2.0,AL,,,StretchCharacterSpacingToFit,
0,75.0,1,Italic,process_blue,6.0,-2.0,AL,left,0.5,,
0,75.0,1,Narrow Italic,black,6.0,-2.1,AL,,,StretchWordSpacingToFit,
0,75.0,1,Regular,black,6.0,-2.1,AL,,,StretchCharacterSpacingToFit,
0,75.0,3,Narrow Italic,black,6.0,-1.4,BL,,,StretchCharacterSpacingToFit,
0,75.0,21,Narrow Italic,black,6.0,-2.1,AL,,,StretchCharacterSpacingToFit,
0,75.0,31,Narrow Italic,black,6.0,-2.1,AL,,,StretchWordSpacingToFit,
0,75.0,33,Narrow Italic,black,6.0,-1.4,BL,,,,
1,0.0012,1,Italic,black,5.0,-1.6,AL,left,0.6,,
1,0.0012,5,Narrow Italic,black,5.0,,OL,,,,
1,0.0012,31,Italic,black,5.0,-1.6,AL,left,0.41,,
1,0.0012,31,Narrow Italic,black,5.0,-1.6,AL,left,0.6,,
1,0.0013,1,Italic,black,5.0,-1.5,AL,left,0.6,,
1,0.0013,1,Italic,process_blue,5.0,-1.5,AL,left,0.55,,
1,0.0013,1,Narrow,black,5.0,-1.5,AL,left,0.6,,
1,0.0013,2,Italic,process_blue,5.0,,OL,left,0.55,,
1,0.0013,7,Narrow,black,5.0,-1.5,AL,right,0.3,,
1,0.0013,8,Italic,black,5.0,,OL,right,0.35,,
1,0.0014,1,Italic,black,6.0,-2.3,AL,left,0.6,,
1,0.0014,1,Italic,process_blue,6.0,-2.3,AL,left,0.6,,
1,0.0014,1,Narrow,black,6.0,-2.3,AL,left,0.6,,
1,0.0014,1,Narrow Italic,black,6.0,-2.3,AL,left,0.6,,
1,0.0014,1,Regular,black,6.0,-2.3,AL,left,0.6,,
1,0.0014,2,Italic,black,6.0,,OL,left,0.6,,
1,0.0014,2,Italic,process_blue,6.0,,OL,left,0.6,,
1,0.0014,2,Narrow,black,6.0,,OL,left,0.6,,
1,0.0014,3,Italic,black,6.0,-1.5,BL,left,0.6,,
1,0.0014,3,Italic,process_blue,6.0,-1.5,BL,right,0.25,,
1,0.0014,3,Narrow,black,6.0,-1.5,BL,left,0.6,,
1,0.0014,4,Italic,black,6.0,-2.3,AL,,,,
1,0.0014,4,Italic,process_blue,6.0,-2.3,AL,left,0.6,,
1,0.0014,4,Narrow,black,6.0,-2.3,AL,,,,
1,0.0014,5,Italic,black,6.0,,OL,,,,
1,0.0014,5,Italic,process_blue,6.0,,OL,,,,
1,0.0014,5,Narrow,black,6.0,,OL,left,0.5,,
1,0.0014,5,Narrow Italic,black,6.0,,OL,left,0.5,,
1,0.0014,6,Narrow,black,6.0,-1.5,BL,left,0.5,,
1,0.0014,7,Italic,black,6.0,-2.3,AL,right,0.37,,
1,0.0014,7,Italic,process_blue,6.0,-2.3,AL,right,0.37,,
1,0.0014,7,Narrow,black,6.0,-2.3,AL,left,0.6,StretchWordSpacingToFit,
1,0.0014,8,Italic,black,6.0,,OL,right,0.37,,
1,0.0014,8,Italic,process_blue,6.0,,OL,right,0.37,,
1,0.0014,8,Narrow,black,6.0,,OL,left,0.35,,
1,0.0014,9,Italic,black,6.0,-1.5,BL,right,0.37,,
1,0.0014,9,Italic,process_blue,6.0,-1.5,BL,right,0.25,,
1,0.0014,9,Narrow,black,6.0,-1.5,BL,right,0.4,,
1,0.0014,21,Narrow,black,6.0,-2.3,AL,left,0.85,,
1,0.0014,31,Italic,black,6.0,-2.3,AL,right,0.6,,
1,0.0014,31,Narrow,black,6.0,-2.3,AL,left,0.6,,
1,0.0014,34,Narrow,black,6.0,-2.3,AL,left,0.4,,
1,0.0015,1,Narrow,black,6.0,-1.9,AL,left,0.68,,
1,0.0017,1,Italic,black,7.0,-2.4,AL,left,0.6,,
1,0.0017,1,Italic,process_blue,7.0,-2.4,AL,left,0.6,,
1,0.0017,1,Narrow,black,7.0,-2.4,AL,left,0.6,,
1,0.0017,1,Narrow,warm_red,7.0,-2.4,AL,left,0.6,,
1,0.0017,1,Narrow Italic,black,7.0,-2.4,AL,centre,0.6,,
1,0.0017,1,Regular,black,5.0,-1.8,AL,centre,0.6,,
1,0.0017,2,Italic,black,7.0,,OL,left,0.6,,
1,0.0017,2,Italic,process_blue,7.0,,OL,left,0.6,,
1,0.0017,2,Narrow,black,7.0,,OL,left,0.6,,
1,0.0017,2,Narrow Italic,black,7.0,,OL,left,0.6,,
1,0.0017,3,Narrow Italic,black,7.0,-1.8,BL,left,0.6,,
1,0.0017,4,Italic,black,7.0,-2.4,AL,right,0.47,,
1,0.0017,4,Narrow,black,7.0,-2.4,AL,,,,
1,0.0017,4,Narrow Italic,black,7.0,-2.4,AL,centre,0.5,,
1,0.0017,5,Italic,black,7.0,,OL,,,,
1,0.0017,5,Italic,process_blue,7.0,,OL,,,,
1,0.0017,5,Regular,black,5.0,,OL,centre,0.6,,
1,0.0017,6,Narrow Italic,black,7.0,-1.8,BL,right,0.47,,
1,0.0017,7,Italic,black,7.0,-2.4,AL,right,0.35,,
1,0.0017,7,Italic,process_blue,7.0,-2.4,AL,right,0.35,,
1,0.0017,7,Narrow Italic,black,7.0,-2.4,AL,right,0.4,,
1,0.0017,8,Narrow Italic,black,7.0,,OL,right,0.38,,
1,0.0017,9,Narrow Italic,black,7.0,-1.8,BL,right,0.38,,
1,0.0017,21,Narrow Italic,black,7.0,-2.4,AL,left,0.6,,
1,0.0017,32,Regular,black,5.0,,OL,centre,0.6,,
1,0.0019,1,Italic,black,7.5,-2.3,AL,left,0.65,,
1,0.0019,1,Italic,process_blue,7.5,-2.3,AL,left,0.67,,
1,0.0019,1,Narrow,black,8.0,-2.7,AL,left,0.65,,
1,0.0019,1,Narrow Italic,black,8.0,-2.7,AL,left,0.69,,
1,0.0019,1,Regular,black,5.5,-2.0,AL,left,0.65,,
1,0.0019,2,Italic,black,7.5,,OL,left,0.65,,
1,0.0019,2,Italic,process_blue,7.5,,OL,left,0.65,,
1,0.0019,2,Narrow,black,8.0,,OL,left,0.65,,
1,0.0019,2,Regular,black,5.5,,OL,left,0.62,,
1,0.0019,3,Narrow,black,8.0,-2.0,BL,right,0.62,,
1,0.0019,3,Narrow Italic,black,8.0,-1.8,BL,left,0.65,,
1,0.0019,3,Regular,black,5.5,-1.5,BL,left,0.65,,
1,0.0019,4,Narrow,black,8.0,-2.7,AL,,,,
1,0.0019,4,Narrow Italic,black,8.0,-2.7,AL,left,0.5,,
1,0.0019,5,Italic,black,7.5,,OL,,,,
1,0.0019,5,Narrow,black,8.0,,OL,left,0.65,,
1,0.0019,5,Regular,black,5.5,,OL,,,StretchWordSpacingToFit,
1,0.0019,7,Italic,black,7.5,-2.1,AL,right,0.35,,
1,0.0019,7,Narrow,black,8.0,-2.1,AL,right,0.35,,
1,0.0019,7,Narrow Italic,black,8.0,-2.7,AL,right,0.35,,
1,0.0019,8,Narrow,black,8.0,,OL,right,0.35,,
1,0.0019,9,Narrow,black,8.0,-2.0,BL,right,0.4,,
1,0.0019,21,Narrow,black,8.0,-2.7,AL,left,0.65,,
1,0.0019,31,Narrow,black,8.0,-2.7,AL,left,0.65,,
1,0.0019,32,Regular,black,5.5,,OL,left 0.62,,,
1,0.0019,34,Italic,black,7.5,-2.1,AL,,,StretchWordSpacingToFit,
1,0.0022,1,Italic,black,8.5,-2.4,AL,left,0.64,,
1,0.0022,1,Narrow,black,8.5,-3.0,AL,left,0.64,,
1,0.0022,1,Narrow,warm_red,8.5,-3.0,AL,left,0.64,,
1,0.0022,1,Narrow Bold,black,8.5,-2.7,AL,left,0.64,,
1,0.0024,1,Italic,black,9.5,-2.7,AL,left,0.69,,
1,0.0024,1,Italic,process_blue,9.5,-3.0,AL,left,0.64,,
1,0.0024,1,Narrow,black,9.5,-3.0,AL,left,0.64,,
1,0.0024,1,Narrow Bold,black,9.5,-3.0,AL,left,0.64,,
1,0.0024,4,Narrow,black,9.5,-3.0,AL,,,,
1,0.0024,4,Narrow Italic,black,9.5,-3.2,AL,,,,
1,0.0024,7,Italic,black,9.5,-2.7,AL,right,0.35,,
1,0.0029,1,Italic,black,12.0,-4.0,AL,left,0.68,,
1,0.0029,1,Narrow Bold,black,12.0,-4.0,AL,left,0.68,,
1,0.0029,2,Narrow Bold,black,12.0,,OL,left,0.68,,
1,0.0034,1,Narrow Bold,black,13.0,-4.0,AL,left,0.66,,
1,0.0038,1,Italic,black,15.0,-4.6,AL,left,0.66,,
1,0.0043,1,Narrow Bold,black,17.0,-5.0,AL,left,0.67,,
1,4.1,1,Narrow Italic,black,6.0,-2.0,AL,left,0.5,,
1,4.1,5,Narrow Italic,black,6.0,,OL,left,0.5,,
1,4.8,1,Regular,black,5.0,-1.6,AL,left,0.35,,
1,5.0,3,Regular,black,5.5,-1.0,BL,,,StretchWordSpacingToFit,
1,5.0,5,Regular,black,5.5,,OL,,,,
1,5.0,32,Regular,black,5.5,,OL,left,0.33,,
1,5.5,5,Regular,black,5.5,,OL,,,StretchWordSpacingToFit,
1,5.5,32,Regular,black,5.5,,OL,left,0.35,,
1,67.0,1,Narrow,black,5.5,-2.0,AL,left,0.8,,
1,67.0,7,Narrow,black,5.5,-2.0,AL,left,0.8,,
1,75.0,1,Italic,process_blue,6.0,-2.0,AL,left,0.65,,
1,75.0,1,Narrow Italic,black,6.0,-2.1,AL,left,0.65,,
1,75.0,1,Regular,black,6.0,-2.1,AL,left,0.65,,
1,75.0,3,Italic,process_blue,6.0,,BL,left,0.65,,
1,75.0,5,Italic,process_blue,6.0,,OL,,,,
1,75.0,6,Narrow Italic,black,6.0,-1.4,BL,,,,
1,75.0,6,Regular,black,6.0,-2.0,BL,,,,
1,75.0,7,Italic,process_blue,6.0,-2.0,AL,left,0.4,,
1,75.0,7,Narrow Italic,black,6.0,-2.1,AL,,,StretchWordSpacingToFit,
1,75.0,34,Narrow Italic,black,6.0,-2.1,AL,,,,
1,75.0,61,Narrow Italic,black,6.0,-2.1,AL,left,0.6,,
7,0.0012,1,Italic,black,5.0,-1.6,AL,,,StretchCharacterSpacingToFit,
7,0.0012,1,Italic,process_blue,5.0,-1.6,AL,,,StretchCharacterSpacingToFit,
7,0.0012,2,Italic,black,5.0,,OL,,,StretchCharacterSpacingToFit,
7,0.0012,2,Italic,process_blue,5.0,,OL,,,StretchCharacterSpacingToFit,
7,0.0013,1,Italic,process_blue,5.0,-1.5,AL,,,StretchWordSpacingToFit,
7,0.0013,2,Italic,black,5.0,,OL,,,StretchCharacterSpacingToFit,
7,0.0013,2,Italic,process_blue,5.0,,OL,,,StretchWordSpacingToFit,
7,0.0013,3,Italic,process_blue,5.0,-1.2,,,,StretchWordSpacingToFit,
7,0.0013,32,Italic,process_blue,5.0,,OL,,,StretchWordSpacingToFit,
7,0.0014,1,Italic,black,6.0,-2.3,AL,,,StretchWordSpacingToFit,
7,0.0014,1,Italic,process_blue,6.0,-2.3,AL,,,StretchWordSpacingToFit,
7,0.0014,1,Italic,warm_red,6.0,-2.3,AL,,,StretchWordSpacingToFit,
7,0.0014,1,Narrow,black,6.0,-2.3,AL,,,StretchWordSpacingToFit,
7,0.0014,1,Narrow,warm_red,6.0,,OL,,,StretchWordSpacingToFit,
7,0.0014,2,Italic,black,6.0,,OL,,,StretchWordSpacingToFit,
7,0.0014,2,Italic,process_blue,6.0,,OL,,,StretchWordSpacingToFit,
7,0.0014,2,Italic,warm_red,6.0,,OL,,,StretchWordSpacingToFit,
7,0.0014,2,Narrow,black,6.0,,OL,,,StretchWordSpacingToFit,
7,0.0014,2,Narrow Italic,black,6.0,,OL,,,,
7,0.0014,3,Italic,black,6.0,-1.5,BL,,,StretchWordSpacingToFit,
7,0.0014,3,Italic,process_blue,6.0,-1.5,BL,,,StretchWordSpacingToFit,
7,0.0014,3,Narrow,black,6.0,-1.5,BL,,,StretchWordSpacingToFit,
7,0.0014,12,Italic,black,6.0,,OL,,,StretchWordSpacingToFit,
7,0.0014,12,Italic,process_blue,6.0,,OL,,,StretchWordSpacingToFit,
7,0.0014,31,Italic,black,6.0,-2.3,AL,,,StretchWordSpacingToFit,
7,0.0014,31,Italic,process_blue,6.0,-2.3,AL,,,StretchWordSpacingToFit,
7,0.0014,31,Narrow,black,6.0,-2.3,AL,,,StretchWordSpacingToFit,
7,0.0014,32,Italic,black,6.0,,OL,,,StretchWordSpacingToFit,
7,0.0014,32,Italic,process_blue,6.0,,OL,,,StretchWordSpacingToFit,
7,0.0014,32,Narrow,black,6.0,,OL,,,StretchWordSpacingToFit,
7,0.0016,1,Italic,process_blue,6.0,-1.9,AL,,,StretchWordSpacingToFit,
7,0.0017,1,Italic,black,7.0,-2.4,AL,,,StretchWordSpacingToFit,
7,0.0017,1,Italic,process_blue,7.0,-2.4,AL,,,StretchWordSpacingToFit,
7,0.0017,1,Narrow,black,7.0,-2.4,AL,,,StretchWordSpacingToFit,
7,0.0017,1,Narrow,warm_red,7.0,-2.4,AL,,,StretchWordSpacingToFit,
7,0.0017,1,Narrow Italic,black,7.0,-2.4,AL,,,StretchWordSpacingToFit,
7,0.0017,1,Regular,black,5.0,-1.8,AL,,,StretchWordSpacingToFit,
7,0.0017,2,Italic,black,7.0,,OL,,,StretchWordSpacingToFit,
7,0.0017,2,Italic,process_blue,7.0,,OL,,,StretchWordSpacingToFit,
7,0.0017,2,Narrow,black,7.0,,OL,,,StretchWordSpacingToFit,
7,0.0017,2,Narrow Italic,black,7.0,-2.4,AL,,,StretchWordSpacingToFit,
7,0.0017,2,Regular,black,5.0,,OL,,,StretchWordSpacingToFit,
7,0.0017,3,Italic,process_blue,7.0,-1.8,BL,,,StretchWordSpacingToFit,
7,0.0017,3,Regular,black,5.0,-1.8,BL,,,StretchWordSpacingToFit,
7,0.0017,12,Italic,process_blue,7.0,,OL,,,StretchWordSpacingToFit,
7,0.0017,31,Italic,black,7.0,-2.4,AL,,,StretchWordSpacingToFit,
7,0.0017,31,Italic,process_blue,7.0,-2.4,AL,,,StretchWordSpacingToFit,
7,0.0017,31,Narrow,black,7.0,-2.4,AL,,,StretchWordSpacingToFit,
7,0.0017,31,Narrow Italic,black,7.0,-2.4,AL,,,StretchWordSpacingToFit,
7,0.0017,32,Italic,black,7.0,,OL,,,StretchWordSpacingToFit,
7,0.0017,32,Italic,process_blue,7.0,,OL,,,StretchWordSpacingToFit,
7,0.0017,32,Regular,black,5.0,,OL,,,StretchWordSpacingToFit,
7,0.0017,42,Italic,process_blue,7.0,,OL,,,StretchWordSpacingToFit,
7,0.0018,2,Italic,process_blue,8.0,,OL,,,StretchWordSpacingToFit,
7,0.0019,1,Italic,black,7.5,-2.3,AL,,,StretchWordSpacingToFit,
7,0.0019,1,Italic,process_blue,7.5,-2.3,AL,,,StretchWordSpacingToFit,
7,0.0019,1,Narrow,black,8.0,-2.7,AL,,,StretchWordSpacingToFit,
7,0.0019,1,Narrow Bold,black,8.0,-2.7,AL,,,StretchCharacterSpacingToFit,
7,0.0019,1,Narrow Italic,black,8.0,-2.7,AL,,,StretchWordSpacingToFit,
7,0.0019,1,Regular,black,5.5,-2.0,AL,,,StretchWordSpacingToFit,
7,0.0019,2,Italic,black,7.5,,OL,,,StretchWordSpacingToFit,
7,0.0019,2,Italic,process_blue,7.5,,OL,,,StretchWordSpacingToFit,
7,0.0019,2,Narrow,black,8.0,,OL,,,StretchWordSpacingToFit,
7,0.0019,2,Narrow Italic,black,8.0,,OL,,,StretchWordSpacingToFit,
7,0.0019,2,Regular,black,5.5,,OL,,,StretchWordSpacingToFit,
7,0.0019,3,Italic,black,7.5,-0.9,BL,,,StretchWordSpacingToFit,
7,0.0019,3,Italic,process_blue,7.5,-2.0,BL,,,StretchWordSpacingToFit,
7,0.0019,3,Narrow,black,8.0,-2.0,BL,,,StretchWordSpacingToFit,
7,0.0019,3,Regular,black,5.5,-1.5,BL,,,StretchWordSpacingToFit,
7,0.0019,12,Italic,process_blue,7.5,,OL,,,StretchWordSpacingToFit,
7,0.0019,12,Regular,black,5.5,,OL,,,StretchWordSpacingToFit,
7,0.0019,31,Italic,black,7.5,-2.1,AL,,,StretchWordSpacingToFit,
7,0.0019,31,Italic,process_blue,7.5,-2.3,AL,,,StretchWordSpacingToFit,
7,0.0019,31,Narrow,black,8.0,-2.7,AL,,,StretchCharacterSpacingToFit,
7,0.0019,31,Narrow Italic,black,8.0,-2.7,AL,,,StretchWordSpacingToFit,
7,0.0019,32,Italic,black,7.5,,OL,,,StretchWordSpacingToFit,
7,0.0019,32,Regular,black,5.5,,OL,,,StretchWordSpacingToFit,
7,0.0019,33,Italic,process_blue,7.5,-2.0,BL,,,StretchWordSpacingToFit,
7,0.0022,1,Italic,black,8.5,-2.4,AL,,,StretchWordSpacingToFit,
7,0.0022,1,Italic,process_blue,8.5,-2.7,AL,,,StretchCharacterSpacingToFit,
7,0.0022,1,Narrow,black,8.5,-3.0,AL,,,StretchCharacterSpacingToFit,
7,0.0022,1,Narrow,process_blue,8.5,-2.7,AL,,,StretchCharacterSpacingToFit,
7,0.0022,1,Narrow Bold,black,8.5,-2.7,AL,,,StretchCharacterSpacingToFit,
7,0.0022,2,Italic,black,8.5,,OL,,,StretchWordSpacingToFit,
7,0.0022,2,Italic,process_blue,8.5,,OL,,,StretchWordSpacingToFit,
7,0.0024,1,Italic,black,9.5,-2.7,AL,,,StretchCharacterSpacingToFit,
7,0.0024,1,Italic,process_blue,9.5,-3.0,AL,,,StretchWordSpacingToFit,
7,0.0024,1,Narrow Bold,black,9.5,-3.0,AL,,,StretchWordSpacingToFit,
7,0.0024,1,Narrow Italic,black,9.5,-3.2,AL,,,StretchWordSpacingToFit,
7,0.0024,2,Italic,black,9.5,,OL,,,StretchWordSpacingToFit,
7,0.0024,2,Italic,process_blue,9.5,,OL,,,StretchWordSpacingToFit,
7,0.0024,3,Italic,process_blue,9.5,-2.5,BL,,,StretchWordSpacingToFit,
7,0.0024,12,Italic,black,9.5,,OL,,,StretchWordSpacingToFit,
7,0.0024,31,Italic,black,9.5,-2.7,AL,,,StretchWordSpacingToFit,
7,0.0024,31,Italic,process_blue,9.5,-3.0,AL,,,StretchWordSpacingToFit,
7,0.0024,31,Narrow Bold,black,9.5,-3.2,AL,,,StretchWordSpacingToFit,
7,0.0024,32,Italic,black,9.5,,OL,,,StretchWordSpacingToFit,
7,0.0026,1,Italic,process_blue,10.5,-3.0,AL,,,StretchWordSpacingToFit,
7,0.0029,1,Italic,black,12.0,-4.0,AL,,,StretchWordSpacingToFit,
7,0.0029,1,Italic,process_blue,12.0,-4.0,AL,,,StretchWordSpacingToFit,
